"Assign Sales Representative","Assign Sales Representative"
"Sales Representative","Sales Representative"
"Assign Sales Rep & Submit Comment","Assign Sales Rep & Submit Comment"
Unknown,Unknown
"User ID","User ID"
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"Customer Group","Customer Group"
Action,Action
Edit,Edit
Assigned,Assigned
Status,Status
Active,Active
Inactive,Inactive
"Additional Info","Additional Info"
"Is Sale Representative","Is Sale Representative"
"Account Status","Account Status"
Yes,Yes
No,No
"Restrictions for viewing customers and orders will be applied for this role only.","Restrictions for viewing customers and orders will be applied for this role only."
"Bcc To","Bcc To"
"Phone Number","Phone Number"
"Display Name","Display Name"
Address,Address
Country,Country
"City or State","City or State"
Postcode,Postcode
"SalesRep Reports","SalesRep Reports"
"Increment Id #","Increment Id #"
"Purchase On","Purchase On"
"Base Grand Total","Base Grand Total"
"Base Discount Amount","Base Discount Amount"
"Base Discount Canceled","Base Discount Canceled"
"Base Discount Invoiced","Base Discount Invoiced"
"Base Discount Refunded","Base Discount Refunded"
"Base Shipping Amount","Base Shipping Amount"
"Base Shipping Canceled","Base Shipping Canceled"
"Base Shipping Invoiced","Base Shipping Invoiced"
"Base Shipping Refunded","Base Shipping Refunded"
"Base Shipping Tax Amount","Base Shipping Tax Amount"
"Base Shipping Tax Refunded","Base Shipping Tax Refunded"
"Base Subtotal","Base Subtotal"
"Base Subtotal Canceled","Base Subtotal Canceled"
"Base Subtotal Invoiced","Base Subtotal Invoiced"
"Base Subtotal Refunded","Base Subtotal Refunded"
"Base Tax Amount","Base Tax Amount"
"Base Tax Canceled","Base Tax Canceled"
"Base Tax Invoiced","Base Tax Invoiced"
"Base Tax Refunded","Base Tax Refunded"
CSV,CSV
"Excel XML","Excel XML"
"Sale Representative Info","Sale Representative Info"
"Sale Representative","Sale Representative"
Information,Information
"Bcc Emails","Bcc Emails"
Telephone,Telephone
Admin,Admin
Log,Log
Message,Message
Orders,Orders
"This order no longer exists.","This order no longer exists."
"We cannot add order history.","We cannot add order history."
"SalesRep Dashboard","SalesRep Dashboard"
"The Sales Representative you have selected does not exist.","The Sales Representative you have selected does not exist."
"You saved dealer.","You saved dealer."
"We can't send the email quote right now.","We can't send the email quote right now."
Guest,Guest
"Could not save the commentHistory: %1","Could not save the commentHistory: %1"
"CommentHistory with id ""%1"" does not exist.","CommentHistory with id ""%1"" does not exist."
"Could not delete the CommentHistory: %1","Could not delete the CommentHistory: %1"
"%1 (Default)","%1 (Default)"
"--- Choose a Sales Rep User ---","--- Choose a Sales Rep User ---"
"Could not save the log: %1","Could not save the log: %1"
"Log with id ""%1"" does not exist.","Log with id ""%1"" does not exist."
"Could not delete the Log: %1","Could not delete the Log: %1"
"Could not save the message: %1","Could not save the message: %1"
"Message with id ""%1"" does not exist.","Message with id ""%1"" does not exist."
"Could not delete the Message: %1","Could not delete the Message: %1"
"You don't have permission to view this order.","You don't have permission to view this order."
"Assigned Customers","Assigned Customers"
Reports,Reports
"You don't have permission to view this creditmemo.","You don't have permission to view this creditmemo."
"You don't have permission to edit this Customer.","You don't have permission to edit this Customer."
"You don't have permission to view this invoice.","You don't have permission to view this invoice."
"You don't have permission to view this shipment.","You don't have permission to view this shipment."
"Sale Representative Order","Sale Representative Order"
Comment,Comment
